"current_file"
"Iteration" "current etc.."
("Iteration" "current" "max_temperature" "min_temperature")
1 0 1180.3 1060.028259076117
2 17970354.34230059 1063.854510179429 954.0254331685054
3 20298117.02851461 962.8795737553123 865.4713284632306
4 14891408.74521068 1057.027550404547 782.3713630614002
5 10000689.78538988 1084.605178605391 704.1342988848152
6 6604423.838704102 1069.073929975467 633.7208689963337
7 4327260.409701223 1081.830451634682 570.3487847067541
8 2821403.223548497 1102.3248914711 513.3139284165522
9 1830199.105147432 1110.723056871412 508.4219957219339
10 1181870.280646829 1117.196300324354 493.7877225393049
11 761678.1531354792 1114.674021035887 508.1300725527988
12 491408.812670822 1140.173928956708 558.9430798080788
13 322156.8149470356 1193.005712385024 614.8373877888868
14 217569.0044481983 1212.442773039061 676.3211265677755
15 151690.6067941674 1149.140303957029 743.9532392245532
16 107619.8658744423 1120.939242321296 818.3485631470086
17 77179.24295535573 1117.565913041213 900.1834194617095
18 56022.82697542386 1127.544245601591 990.2017614078806
19 41154.8926948617 1129.769579935738 1077.144798218186
20 30404.2606651362 1148.086947732054 1077.494238266984
21 20577.90099542371 1145.486420161518 1077.759828487432
22 16095.08840672407 1151.901448811008 1077.603341539498
23 14673.26648443496 1126.731408769273 1077.487703231128
24 13131.33401667456 1111.54294162303 1076.980096008909
25 10140.2171927249 1108.505134438714 1076.78556904351
26 7964.228758691684 1108.78671657303 1076.535813825576
27 6473.63838228414 1108.412165708643 1076.456408879108
28 5496.684241124726 1110.07431227083 1076.512888905221
29 4891.612308920878 1111.930189949208 1076.602881378811
30 4554.754054562033 1113.569432691068 1076.716708222912
31 4401.918239451023 1113.474743333269 1076.827727504341
32 4371.02407194965 1111.029431090524 1076.852355677657
33 4534.569394985158 1108.115234706507 1076.814197606924
34 4322.33245345494 1106.141247359342 1076.685603799128
35 4112.402822250654 1104.642535811151 1076.538632234238
36 4005.639981020967 1104.740003236359 1076.41310523315
37 3988.110220304457 1105.113557168351 1076.328527765729
38 4047.479796264777 1105.470583912889 1076.282577758676
39 4141.119155314876 1105.704472644638 1076.26451869053
40 4202.310692276615 1105.614984889675 1076.263798009696
41 4218.699541006095 1105.053753665108 1076.258234909307
42 4199.102474622364 1104.110637668243 1076.246486380312
43 4166.388058598765 1103.207462978212 1076.218303207798
44 4142.056825002877 1102.550240652221 1076.176444197198
45 4132.22530803912 1102.144390702076 1076.127396481397
46 4134.197552075462 1101.858341404413 1076.075183255777
47 4143.611103887303 1101.537480211196 1076.007271379404
48 4156.198322973702 1101.29296331873 1075.984755994715
49 4167.928714112153 1101.021910514816 1075.944794528843
50 4176.167729032154 1100.707874617647 1075.917924014128
51 4180.063244307992 1100.373168960876 1075.891687171758
52 4180.249546743874 1100.038463079324 1075.867160117401
53 4178.036699822736 1099.71497062155 1075.842214698281
54 4174.722538449002 1099.39380374244 1075.81587203501
55 4171.404838693741 1099.099310064356 1075.78904126293
56 4168.847573986347 1098.814843420021 1075.759333697863
57 4167.497022878792 1098.544234127967 1075.734385082966
58 4167.454233411411 1098.280575358555 1075.706879932221
59 4168.469803830561 1098.035890691378 1075.681680419201
60 4170.040341309928 1097.815203087576 1075.658114516025
61 4171.589533463643 1097.600045943566 1075.636178834373
62 4172.677847070837 1097.388246211787 1075.615370197844
63 4173.091557175139 1097.169936634898 1075.595224730595
64 4172.874059164144 1096.961494426766 1075.576034987933
65 4172.259500471819 1096.75621706042 1075.557080819562
66 4171.542849885963 1096.556707153436 1075.538488642336
67 4170.979302915483 1096.364302854437 1075.518621329066
68 4170.716757960645 1096.1800854566 1075.500746713274
69 4170.769598803876 1096.00443573517 1075.483022056877
70 4171.047587362134 1095.836088778018 1075.466161943358
71 4171.408572362849 1095.673734569968 1075.450033513315
72 4171.721375057045 1095.515703643939 1075.434585643111
73 4171.898663558974 1095.361443099048 1075.419757693763
74 4171.927954657335 1095.21111864943 1075.405427029968
75 4171.846364884767 1095.064522181595 1075.391540281696
76 4171.720537243326 1094.922613714301 1075.378067758921
77 4171.61574307881 1094.785910286826 1075.364977618714
78 4171.568992957432 1094.654678668208 1075.352305455805
79 4171.587488970398 1094.52944234857 1075.341075135051
80 4171.647737608483 1094.409365680438 1075.329260156506
